diet,taxon,species,id,measure,prox,med,dist
Herbivorous,Bat,Carollia perspicillata,Cp3,enterocyte width,0.0060838689179375455,0.0048587145969498915,0.005736958363592351
Herbivorous,Bat,Carollia perspicillata,Cp4,enterocyte width,0.00519782364709901,0.005928568643744297,0.004793881817063743
Omnivorous,Rodent,Delomys sublineatus,Ds1,enterocyte width,0.005540263143891017,0.005910617257401381,NA
Omnivorous,Rodent,Delomys sublineatus,Ds2,enterocyte width,0.005965171037812488,0.00677566396929142,0.006777793797257466
Omnivorous,Rodent,Delomys sublineatus,Ds3,enterocyte width,0.0069004608681079264,0.006655060110689683,0.005103948762445495
Protein,Bat,Desmodus rotundus,Dr1,enterocyte width,0.005714902357704215,0.006155095618494311,0.006942607156460755
Protein,Bat,Desmodus rotundus,Dr2,enterocyte width,0.006493160428422577,0.005945532393653309,0.006347108750907771
Protein,Bat,Desmodus rotundus,Dr3,enterocyte width,0.0064872664041461985,0.005916707928962831,0.006324019956985643
Protein,Bat,Eptesicus fuscus,Eptesicus1,enterocyte width,0.006825146570022591,0.0069704869582189015,0.007030074659392883
Protein,Bat,Eptesicus fuscus,Eptesicus2,enterocyte width,0.005552902502137868,0.006030962963856439,0.006653359946773121
Protein,Bat,Eptesicus fuscus,Eptesicus3,enterocyte width,0.006811200337835536,0.006012433712918315,0.005908454407411566
Protein,Bat,Eumops glaucinus,Eg,enterocyte width,0.006248700896480597,0.006117106976257302,0.007379883805374
Protein,Rodent,Euryoryzomys russatus,E1,enterocyte width,0.007291286754569487,0.007052919699048359,0.006453459356452133
Protein,Rodent,Euryoryzomys russatus,E2,enterocyte width,0.0068954974582425554,0.007037414540870739,0.007893094892277899
Protein,Rodent,Euryoryzomys russatus,E3,enterocyte width,0.0077477951640426285,0.006622254267768431,0.006086951447245565
Herbivorous,Rodent,Microtus pennsylvanicus,Microtus1,enterocyte width,0.008826396349635777,0.008528939825932506,0.008682665984924544
Herbivorous,Rodent,Microtus pennsylvanicus,Microtus2,enterocyte width,0.008431705627327566,0.008521933109404028,0.007580563923370918
Herbivorous,Rodent,Microtus pennsylvanicus,Microtus3,enterocyte width,0.007896171512990373,0.007991565429222,0.007977180182003453
Herbivorous,Rodent,Microtus pennsylvanicus,Microtus4,enterocyte width,0.008384757829984572,0.008480411538356986,0.008228810292447368
Herbivorous,Rodent,Microtus pennsylvanicus,Microtus5,enterocyte width,0.008237544990100836,0.007635325913382653,0.00824478746420527
Protein,Bat,Molossus molossus,Mmo1,enterocyte width,0.007106197955686447,0.004517590215098385,0.006272026702418859
Protein,Bat,Molossus molossus,Mmo2,enterocyte width,0.00609606934300029,0.005530008299616143,0.005956772203831027
Protein,Bat,Molossus molossus,Mmo3,enterocyte width,0.004925155527116312,0.00623344366236523,0.004907603569311931
Protein,Bat,Molossus rufus,Mr,enterocyte width,0.005403104805464586,0.005115232187116862,0.006592120551924474
Omnivorous,Rodent,Mus musculus,Mm1,enterocyte width,0.004221310925418783,0.005327571706521057,0.0044811834658643164
Omnivorous,Rodent,Mus musculus,Mm2,enterocyte width,0.004564830353278061,0.004572974154200688,0.005011610191752036
Omnivorous,Rodent,Mus musculus,Mm3,enterocyte width,0.004724023610026092,0.0052390156370161495,0.0049193832870798645
Omnivorous,Rodent,Mus musculus,Mm4,enterocyte width,0.004643751925210891,0.004774909377462569,0.0043536130811662735
Omnivorous,Rodent,Mus musculus,Mm5,enterocyte width,0.005323462589420036,0.00482404593042891,0.004709390070921986
Omnivorous,Rodent,Mus musculus,Mm6,enterocyte width,0.00434264303874902,0.004301348463356973,0.004780639542117706
Protein,Bat,Myotis lucifugus,My1,enterocyte width,0.008352938819714118,0.007641360116115493,0.008199717074027061
Protein,Bat,Myotis lucifugus,My2,enterocyte width,0.00796851886331306,0.008004943080978918,0.008469386864494702
Protein,Bat,Myotis lucifugus,My3,enterocyte width,0.00870178498310456,0.007976452812310736,0.008068096497779998
Herbivorous,Rodent,Olygoryzomys nigripes,o1,enterocyte width,0.007271602020437804,0.007924820288430438,0.007153549382716049
Herbivorous,Rodent,Olygoryzomys nigripes,o2,enterocyte width,NA,NA,NA
Protein,Rodent,Peromyscus leucopus,P1,enterocyte width,0.009989924529604876,0.009997063082938087,0.01027588809959564
Protein,Rodent,Peromyscus leucopus,P2,enterocyte width,0.009701922979150901,0.008914423590283192,0.008349754615019394
Protein,Rodent,Peromyscus leucopus,P3,enterocyte width,0.009490804725625572,0.010578216170240039,0.009366534150061435
Herbivorous,Rodent,Sooretamys angouya,s1,enterocyte width,0.005895247097710782,0.005859622282824897,0.005094114302641134
Herbivorous,Rodent,Sooretamys angouya,s2,enterocyte width,0.006844582704876822,0.007000891588519465,0.005975483451034352
Protein,Bat,Tadarida brasiliensis,Tb1,enterocyte width,0.005965218949235941,0.0053543765149474815,0.0057700389375608405
Protein,Bat,Tadarida brasiliensis,Tb2,enterocyte width,0.005689678948941604,0.0037909143185738937,0.005559893035693525
Protein,Bat,Tadarida brasiliensis,Tb3,enterocyte width,0.0053941727586833965,0.004852277809724618,0.004599081782985575
Protein,Bat,Tadarida brasiliensis,Tb4,enterocyte width,0.005279719157991417,0.0038223603474380427,0.004622373259784607
Protein,Bat,Tadarida brasiliensis,Tb5,enterocyte width,0.004263058269198857,0.004107426251413302,0.004169773725092874
Protein,Bat,Tadarida brasiliensis,Tb6,enterocyte width,0.004659321382471103,0.005075405559631532,0.005308899565316862
Protein,Bat,Tadarida brasiliensis,Tb7,enterocyte width,0.005194559128846405,0.004687703703703704,0.00461233096926714
Protein,Bat,Tadarida brasiliensis,Tb8,enterocyte width,0.004696037116125104,0.004086200607902736,0.004277056737588653
Omnivorous,Rodent,Thaptomys nigrita,t1,enterocyte width,0.00575736460844642,0.006390428316388283,0.006190167176189472
Omnivorous,Rodent,Thaptomys nigrita,t2,enterocyte width,0.0063225611811267126,0.006853776951393584,0.0061003813560889355
Omnivorous,Rodent,Thaptomys nigrita,t3,enterocyte width,NA,0.00701765065000359,0.00472235037805972
Omnivorous,Rodent,Akodon montensis,Ak1,intestinal diameter,0.66,0.535,0.6525
Omnivorous,Rodent,Akodon montensis,Ak2,intestinal diameter,0.6124999999999999,0.75,0.7575000000000001
Omnivorous,Rodent,Akodon montensis,Ak3,intestinal diameter,0.695,0.49749999999999994,0.5
Omnivorous,Rodent,Akodon montensis,Ak4,intestinal diameter,0.545,0.6525,0.6225
Herbivorous,Bat,Artibeus lituratus,Ar1,intestinal diameter,0.615,0.498,0.559
Herbivorous,Bat,Artibeus lituratus,Ar2,intestinal diameter,0.615,0.45,0.591
Herbivorous,Bat,Artibeus lituratus,Ar3,intestinal diameter,0.744,0.559,0.656
Herbivorous,Bat,Carollia perspicillata,Cp1,intestinal diameter,0.7875000000000001,0.7725,0.73
Herbivorous,Bat,Carollia perspicillata,Cp2,intestinal diameter,0.7625,0.7274999999999999,0.6525000000000001
Herbivorous,Bat,Carollia perspicillata,Cp3,intestinal diameter,0.85,0.8175,0.7425
Herbivorous,Bat,Carollia perspicillata,Cp4,intestinal diameter,0.8049999999999999,0.7575000000000001,0.6849999999999999
Omnivorous,Rodent,Delomys sublineatus,Ds1,intestinal diameter,0.67,0.735,0.79
Omnivorous,Rodent,Delomys sublineatus,Ds2,intestinal diameter,0.78,0.76,0.7525
Omnivorous,Rodent,Delomys sublineatus,Ds3,intestinal diameter,0.9,0.9025000000000001,0.8825
Protein,Bat,Desmodus rotundus,Dr1,intestinal diameter,0.6825,0.5599999999999999,0.5125
Protein,Bat,Desmodus rotundus,Dr2,intestinal diameter,0.495,0.45749999999999996,0.40249999999999997
Protein,Bat,Desmodus rotundus,Dr3,intestinal diameter,0.73,0.6375,0.595
Protein,Bat,Eptesicus fuscus,Eptesicus1,intestinal diameter,0.75,0.607,0.607
Protein,Bat,Eptesicus fuscus,Eptesicus2,intestinal diameter,0.73367,0.639,0.681
Protein,Bat,Eptesicus fuscus,Eptesicus3,intestinal diameter,0.644,0.476,0.47
Protein,Bat,Eumops glaucinus,Eg,intestinal diameter,0.7650000000000001,0.85,0.6950000000000001
Protein,Rodent,Euryoryzomys russatus,E1,intestinal diameter,1.3499999999999999,1.0474999999999999,1.13
Protein,Rodent,Euryoryzomys russatus,E2,intestinal diameter,1.2825000000000002,1.185,1.1325
Protein,Rodent,Euryoryzomys russatus,E3,intestinal diameter,1.45,1.595,1.4975
Herbivorous,Rodent,Microtus pennsylvanicus,Microtus1,intestinal diameter,0.52433,0.590333,0.59433
Herbivorous,Rodent,Microtus pennsylvanicus,Microtus2,intestinal diameter,0.716667,0.750667,0.6135
Herbivorous,Rodent,Microtus pennsylvanicus,Microtus3,intestinal diameter,0.606,0.815667,0.758
Herbivorous,Rodent,Microtus pennsylvanicus,Microtus4,intestinal diameter,0.645,0.792667,0.748
Herbivorous,Rodent,Microtus pennsylvanicus,Microtus5,intestinal diameter,0.697,0.792667,0.8705
Protein,Bat,Molossus molossus,Mmo1,intestinal diameter,0.5425,0.5625,0.5375
Protein,Bat,Molossus molossus,Mmo2,intestinal diameter,0.57,0.5700000000000001,0.55
Protein,Bat,Molossus molossus,Mmo3,intestinal diameter,0.5575,0.6375,0.5775
