diet,taxon,species,id,gavage,injection,prox,med,dist,nsa,mass
Omnivorous,Rodent,Mus musculus,M_musc_1,0.168297495,NA,NA,NA,NA,NA,NA
Omnivorous,Rodent,Mus musculus,M_musc_1,NA,NA,10.110921979409966,8.753268797747701,7.56334819412889,24.205333333333336,34
Omnivorous,Rodent,Mus musculus,M_musc_2,0.220431474,NA,NA,NA,NA,NA,NA
Omnivorous,Rodent,Mus musculus,M_musc_2,NA,NA,12.49945870386611,10.221408044406,8.258364993368135,21.662666666666667,35
Omnivorous,Rodent,Mus musculus,M_musc_3,0.261250836,NA,NA,NA,NA,NA,NA
Omnivorous,Rodent,Mus musculus,M_musc_3,NA,NA,10.322724902956045,8.642397534805355,5.538490012011673,35.328,43
Omnivorous,Rodent,Mus musculus,M_musc_4,0.149760412,NA,NA,NA,NA,NA,NA
Omnivorous,Rodent,Mus musculus,M_musc_4,NA,NA,14.84464690461051,8.54864452210589,9.178735481179848,28.104166666666668,30.55
Omnivorous,Rodent,Mus musculus,M_musc_5,0.239321807,NA,NA,NA,NA,NA,NA
Omnivorous,Rodent,Mus musculus,M_musc_5,NA,NA,11.964278075394033,10.131042358932001,8.470291881350422,30.854999999999997,41.77
Omnivorous,Rodent,Mus musculus,M_musc_6,NA,NA,16.700114328884002,8.945002524427384,8.068450319587358,29.723333333333336,39.18
Protein,Rodent,Peromyscus leucopus,P_leuc_1,0.3732740795915535,80.78872,NA,NA,NA,NA,NA
Protein,Rodent,Peromyscus leucopus,P_leuc_1,NA,NA,9.682247793809383,8.421093489951483,5.565184581506714,18.0040861,27.4
Protein,Rodent,Peromyscus leucopus,P_leuc_10,0.40814377402975605,92.98820806533458,NA,NA,NA,NA,NA
Protein,Rodent,Peromyscus leucopus,P_leuc_2,0.3661447502648762,93.51489821870223,NA,NA,NA,NA,NA
Protein,Rodent,Peromyscus leucopus,P_leuc_2,NA,NA,8.811221997658333,8.744251762077626,5.3482713237212325,15.9548916,24.7
Protein,Rodent,Peromyscus leucopus,P_leuc_3,NA,NA,12.883731416530052,11.562475262856,8.271216214209737,12.893738833333334,25
Protein,Rodent,Peromyscus leucopus,P_leuc_4,0.32618875101507044,89.77253442988106,NA,NA,NA,NA,NA
Protein,Rodent,Peromyscus leucopus,P_leuc_8,0.2892323733086735,39.93053397015297,NA,NA,NA,NA,NA
Protein,Rodent,Peromyscus leucopus,P_leuc_9,0.07061983669532153,91.36239432841025,NA,NA,NA,NA,NA
